#year/month/day min avg max
2011/01/01 -14.000000 -10.900000 -5.000000
2011/01/02 -8.000000 -5.900000 -4.000000
2011/01/03 -13.100000 -8.900000 -3.600000
2011/01/04 -10.000000 -6.100000 2.000000
2011/01/05 -1.000000 0.900000 5.000000
2011/01/06 -2.000000 2.900000 6.000000
2011/01/07 -6.000000 -3.200000 -1.000000
2011/01/08 -12.000000 -6.700000 1.000000
2011/01/09 -17.100000 -15.600000 -5.900000
2011/01/10 -19.000000 -17.500000 -16.000000
2011/01/11 -23.000000 -20.400000 -16.000000
2011/01/12 -24.200000 -17.700000 -14.300000
2011/01/13 -23.500000 -21.900000 -15.700000
2011/01/14 -24.000000 -23.000000 -21.000000
2011/01/15 -26.000000 -23.700000 -20.000000
2011/01/16 -26.100000 -16.600000 -3.700000
2011/01/17 -24.000000 -21.600000 -17.000000
2011/01/18 -19.000000 -11.200000 -3.000000
2011/01/19 -15.300000 -8.700000 -2.500000
2011/01/20 -16.000000 -6.400000 2.000000
2011/01/21 0.000000 1.500000 5.000000
2011/01/22 -2.000000 1.700000 6.000000
2011/01/23 -1.600000 2.700000 6.100000
2011/01/24 -6.900000 -0.300000 6.200000
2011/01/25 -1.000000 3.100000 9.000000
2011/01/26 3.000000 5.900000 10.000000
2011/01/27 4.000000 7.800000 13.000000
2011/01/28 -5.000000 1.300000 9.500000
2011/01/29 -17.000000 -12.800000 -5.300000
2011/01/30 -22.000000 -19.700000 -17.900000
2011/01/31 -26.000000 -22.300000 -16.000000
2011/02/01 -24.300000 -18.100000 -4.000000
2011/02/02 -9.000000 -5.700000 3.000000
2011/02/03 -3.000000 1.900000 8.000000
2011/02/04 5.000000 6.400000 8.000000
2011/02/05 -2.000000 0.600000 6.600000
2011/02/06 -13.100000 -10.400000 2.000000
2011/02/07 -17.500000 -14.900000 -9.900000
2011/02/08 -20.000000 -16.800000 -10.000000
2011/02/09 -16.000000 -9.900000 -2.000000
2011/02/10 -6.000000 -1.200000 6.000000
2011/02/11 0.000000 3.000000 7.000000
2011/02/12 -1.000000 4.300000 8.000000
2011/02/13 -1.100000 2.900000 8.700000
2011/02/14 -4.600000 0.500000 7.000000
2011/02/15 -4.600000 2.900000 7.600000
2011/02/16 -18.000000 -10.800000 1.800000
2011/02/17 -20.500000 -18.800000 -8.700000
2011/02/18 -23.500000 -21.200000 -16.100000
2011/02/19 -26.000000 -21.700000 -11.000000
2011/02/20 -22.000000 -17.400000 -10.000000
2011/02/21 -16.000000 -6.700000 0.000000
2011/02/22 -15.200000 -8.400000 1.400000
2011/02/23 -20.300000 -17.500000 -6.500000
2011/02/24 -27.200000 -22.900000 -15.900000
2011/02/25 -29.000000 -23.100000 -10.000000
2011/02/26 -19.000000 -9.500000 0.000000
2011/02/27 -17.300000 -7.700000 0.000000
2011/02/28 -25.000000 -20.000000 -10.900000
2011/03/01 -30.700000 -26.600000 -16.900000
2011/03/02 -25.000000 -23.100000 -17.000000
2011/03/03 -24.000000 -19.000000 -8.000000
